Daily / Cumulative,Indicator,Date,Event,region,City,Cases
Daily,Cases,4/16/2020,,Asir,Khamis Mushait,1
Daily,Cases,4/16/2020,,Mecca,Maisan,1
Daily,Cases,4/17/2020,,Eastern Region,Hufof,6
Daily,Cases,4/17/2020,,Qassim,Buraydah,5
Daily,Cases,4/17/2020,,Asir,Bisha,1
Daily,Cases,4/18/2020,,Mecca,Taif,7
Daily,Cases,4/18/2020,,Al Bahah,Al Bahah,1
Daily,Cases,4/18/2020,,Tabuk,Tabuk,2
Daily,Cases,4/18/2020,,Asir,Muhayil Aseer,1
Daily,Cases,4/18/2020,,Jazan,Baish,1
