Daily / Cumulative,Indicator,Date,Event,region,City,Cases
Daily,Cases,4/19/2020,,Eastern Region,Hufof,63
Daily,Cases,4/19/2020,,Mecca,Taif,16
Daily,Cases,4/19/2020,,Mecca,Mecca,402
Daily,Cases,4/19/2020,,Asir,Al Madda,1
Daily,Cases,4/19/2020,,Medina,Medina,120
Daily,Cases,4/20/2020,,Eastern Region,Hufof,138
Daily,Cases,4/20/2020,,Northern Borders,Arar,2
Daily,Cases,4/20/2020,,Al Bahah,Al Bahah,1
Daily,Cases,4/20/2020,,Mecca,Hadda,2
Daily,Cases,4/20/2020,,Total,Total,1147
